frame,pan,tilt
1387,79,7.24
1388,79,7.24
1389,79,7.24
1390,79,7.24
1391,79,7.24
1392,79,7.24
1393,79,7.24
1394,79,7.24
1395,79,7.24
1396,79,7.24
1397,79,7.24
1398,79,7.24
1399,79,7.24
1400,79,7.24
